words,bucket
community based,community-based
community focused,community-based
based in communities,community-based
based within communities,community-based
focused in communities,community-based
mnch,maternal newborn and child health
maternal newborn and child health,maternal newborn and child health
rural,rural/urban
urban,rural/urban
agriculture,ag/seed/fertilizer
seed,ag/seed/fertilizer
fertilizer,ag/seed/fertilizer
livelihood,livelihoods
health,health/hiv/nutrition
HIV,health/hiv/nutrition
nutrition,health/hiv/nutrition
nutrients,health/hiv/nutrition
AIDS,health/hiv/nutrition
village saving and loan associations,village saving and loan associations
VSLA,village saving and loan associations
sanitation,sanitation
scale,scale/scaling
scaling,scale/scaling
government,government/governance/state
governance,government/governance/state
state,government/governance/state
national rural livelihoods mission,national rural livelihoods mission
nrlm,national rural livelihoods mission
digital ,digital
cash transfer,cash transfers
direct transfer,cash transfers
transfer cash,cash transfers
empowerment,empowerment
empower,empowerment
gender,gender
